Week,Year,HomeTeam,HomeRanking,HomeNetYardsGained,HomeYardsPerOffPlay,HomeStrengthOfSchedule,HomeWinProjection,HomeScoringEff,HomeTurnOverPerc,HomeYardsPerPoint,HomeYardsPerPenalty,HomeExpPoints,AwayTeam,AwayRanking,AwayNetYardsGained,AwayYardsPerOffPlay,AwayStrengthOfSchedule,AwayWinProjection,AwayScoringEff,AwayTurnOverPerc,AwayYardsPerPoint,AwayYardsPerPenalty,AwayExpPoints,IsHomeWin
17,2019,New England Patriots,4,7.2,5.9,-1.8,10.678032,40.8,9.2,2.461009174311,8.000000000000,190.96,Miami Dolphins,26,5.7,5.3,-1.7,5.223680,28.3,12.5,2.752351097178,9.055555555555,-40.39,NULL
17,2019,Seattle Seahawks,7,6.5,5.6,-0.6,9.948896,39.8,6.1,2.364485981308,8.639639639639,128.78,San Francisco 49ers,21,6.7,5.8,0.3,5.779520,37,17.1,2.932748538011,8.767857142857,20.95,NULL
17,2019,Houston Texans,11,6.7,5.6,-1.5,10.221984,40.3,8.1,2.587064676616,7.495238095238,84.1,Tennessee Titans,27,6.1,5.3,-0.2,8.216464,34.9,10.2,3.032258064516,8.865853658536,10.48,NULL
17,2019,Tampa Bay Buccaneers,12,7.7,6.3,1.7,6.515104,37,19,2.664141414141,8.333333333333,121.14,Atlanta Falcons,10,7.1,6.2,0.4,7.796160,42.9,10.7,2.439613526570,8.900990099009,155.08,NULL
17,2019,Baltimore Ravens,13,6.1,5.3,0.6,10.764208,40.7,10.7,2.917737789203,8.103448275862,72.85,Pittsburgh Steelers,6,7,6.1,1.3,9.617616,36.8,14.3,2.471962616822,9.243243243243,156.16,NULL
17,2019,Carolina Panthers,14,6.4,5.9,1.3,7.849920,37,12.1,2.688829787234,8.891304347826,117.24,New Orleans Saints,3,7.5,6,0.6,11.188832,51.8,9.5,2.003968253968,9.989361702127,237.73,NULL
17,2019,New York Giants,16,6.4,5.8,0.5,6.960944,38.4,9.6,2.666666666666,8.342105263157,70.53,Philadelphia Eagles,18,6.7,5.6,0.5,8.503280,38.1,12.5,2.825613079019,8.520000000000,91.97,NULL
17,2019,Cincinnati Bengals,17,5.7,5.3,2,6.029568,35.5,9.6,2.548913043478,8.394736842105,47.57,Cleveland Browns,20,6.5,5.8,1.7,7.169328,31.2,11.4,2.849582172701,7.982142857142,36.91,NULL
17,2019,Minnesota Vikings,19,6.2,5.5,-0.6,8.513312,32.4,10.6,2.786111111111,8.467391304347,7.47,Chicago Bears,9,6.5,5.4,-2.3,11.509888,36.8,13.2,2.406175771971,8.206185567010,96.31,NULL
17,2019,Kansas City Chiefs,1,8.1,6.8,-0.1,10.681184,52.6,10.5,1.762831858407,8.408759124087,298.14,Los Angeles Chargers,8,7.5,6.3,-0.2,10.416096,42.4,10,2.207943925233,8.557522123893,170.19,NULL
17,2019,Dallas Cowboys,22,6.1,5.4,0.2,8.428608,37.9,10.1,3.014749262536,8.509615384615,83.04,Washington Redskins,29,5.5,5,-0.1,5.740800,31.8,11.2,3.441281138790,8.765217391304,-34.07,NULL
17,2019,Denver Broncos,24,5.9,5.5,0.7,7.441440,30.6,11.3,3.085106382978,7.880000000000,24.23,Oakland Raiders,28,6.2,5.4,1.8,3.908976,31.3,13.6,3.431034482758,8.772727272727,-17.92,NULL
17,2019,Detroit Lions,25,5.8,5.1,-0.8,7.006336,35.3,11,3.145061728395,9.063829787234,39.87,Green Bay Packers,15,6.1,5.8,-1.2,7.414464,38.8,6.7,2.728723404255,8.675925925925,108.88,NULL
17,2019,Los Angeles Rams,2,7.5,6.4,-0.4,10.867696,48.6,9.8,2.011385199240,9.145833333333,239.79,Arizona Cardinals,32,4.6,4.3,1,2.901440,19.3,15,4.008888888888,7.782178217821,-155.06,NULL
17,2019,Jacksonville Jaguars,31,5.3,4.8,0.4,5.658048,25,15.6,4.102040816326,9.190082644628,-98.17,Indianapolis Colts,5,6.7,5.8,-2.2,10.128800,41.2,13.2,2.471131639722,7.941666666666,140.47,NULL
17,2019,Buffalo Bills,30,5.2,4.7,-0.3,5.025600,26.4,15.5,3.747211895910,8.551724137931,-104.81,New York Jets,23,5.6,4.9,-1.1,5.431216,32,14.7,2.915915915915,8.315789473684,-97.45,NULL
